                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.5846,                 1.1225,                0.52785,                0.99564,                 0.8196,                0.82389,                0.86585,                0.74624,                0.81648,                0.81806,                0.85659,                0.70247,                0.54151,                 1.2856,                0.60785,                 1.0327,              0.0003685,              0.0003685,              0.0003685
                      2,                0.61342,                 1.1843,                0.58345,                 1.0174,                0.78078,                0.80794,                0.83637,                0.69643,                0.76443,                0.79116,                0.80935,                0.62549,                0.60069,                 1.4389,                0.68539,                 1.0799,             0.00073152,             0.00073152,             0.00073152
                      3,                0.64902,                 1.2693,                0.61783,                 1.0299,                0.77823,                0.79997,                0.82317,                0.66086,                0.77903,                0.76251,                0.78875,                0.59942,                 0.6951,                 1.5939,                0.76317,                 1.1557,              0.0010872,              0.0010872,              0.0010872
                      4,                 0.6706,                 1.3192,                0.64941,                 1.0459,                0.79301,                0.82304,                0.84126,                0.69087,                0.79148,                0.82067,                0.83464,                0.64338,                0.66053,                 1.3731,                0.70152,                 1.0947,               0.001078,               0.001078,               0.001078
                      5,                0.66226,                 1.2829,                0.65538,                 1.0416,                0.79452,                0.81669,                0.85369,                0.71058,                0.80385,                0.80323,                 0.8399,                0.65934,                0.61257,                 1.4551,                0.70296,                 1.0743,               0.001078,               0.001078,               0.001078
                      6,                0.67139,                 1.3207,                0.66046,                 1.0447,                0.78438,                0.79205,                0.82444,                0.68928,                0.77246,                0.77717,                0.79855,                0.63379,                 0.6115,                 1.4128,                0.70572,                 1.0768,               0.001067,               0.001067,               0.001067
                      7,                 0.6602,                 1.2989,                0.64109,                  1.038,                0.78521,                0.80377,                0.83498,                0.69226,                0.77816,                 0.7935,                0.80882,                0.64022,                0.62123,                 1.3989,                 0.7158,                 1.0849,               0.001056,               0.001056,               0.001056
                      8,                 0.6634,                 1.2828,                0.65142,                 1.0449,                 0.8051,                0.82473,                0.85417,                0.70601,                0.79002,                0.83075,                0.84277,                0.66926,                0.61816,                 1.3208,                0.66508,                 1.0862,               0.001045,               0.001045,               0.001045
                      9,                0.66196,                 1.2887,                 0.6493,                 1.0379,                0.80449,                0.80928,                0.84423,                0.71151,                0.79608,                 0.8007,                0.82969,                0.67046,                0.59827,                 1.3255,                0.67764,                 1.0553,               0.001034,               0.001034,               0.001034
                     10,                 0.6693,                 1.2893,                0.63941,                 1.0462,                0.77526,                0.81626,                0.85309,                0.71342,                0.79353,                0.78889,                0.84165,                 0.6762,                0.61946,                 1.3538,                0.65772,                 1.0847,               0.001023,               0.001023,               0.001023
                     11,                0.65259,                 1.2638,                 0.6451,                 1.0342,                0.79295,                 0.8172,                0.84368,                0.69815,                0.79344,                0.81108,                0.83192,                0.65828,                0.61332,                 1.3598,                0.70063,                 1.0728,               0.001012,               0.001012,               0.001012
                     12,                0.65357,                 1.2634,                0.63997,                 1.0382,                0.76354,                0.82286,                0.84952,                0.71001,                0.76717,                 0.7954,                0.82702,                0.65362,                0.60063,                 1.4141,                0.70545,                 1.0696,               0.001001,               0.001001,               0.001001
                     13,                0.65036,                  1.274,                0.63111,                  1.036,                0.78789,                 0.8045,                0.84038,                 0.7002,                0.78419,                0.81904,                0.83641,                0.66336,                0.60237,                 1.3317,                 0.6697,                 1.0664,             0.00099001,             0.00099001,             0.00099001
                     14,                0.66211,                 1.2818,                0.63172,                  1.045,                0.78938,                0.80228,                0.84551,                0.70519,                0.78545,                0.79718,                0.83142,                0.66711,                 0.6097,                 1.3821,                0.68819,                 1.0746,             0.00097901,             0.00097901,             0.00097901
                     15,                0.64949,                 1.2473,                0.62396,                 1.0331,                0.76713,                0.85453,                0.85131,                0.71738,                 0.7702,                0.84466,                0.84053,                0.66051,                0.58021,                 1.3169,                0.65848,                 1.0466,             0.00096801,             0.00096801,             0.00096801
