                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90337,                 2.0682,                  2.232,                 1.2201,                0.61543,                0.51065,                0.54062,                0.38084,                0.60055,                0.48572,                0.49301,                0.31673,                 1.0686,                 2.6022,                 2.1105,                 1.4804,              0.0003685,              0.0003685,              0.0003685
                      2,                0.92363,                 1.9981,                 1.5696,                 1.2225,                 0.5985,                 0.5923,                0.59378,                0.42715,                0.56595,                 0.5617,                0.54375,                0.35478,                 1.0491,                 2.4053,                 1.6455,                 1.4056,             0.00073152,             0.00073152,             0.00073152
                      3,                0.94977,                 2.0098,                 1.4332,                 1.2248,                 0.6436,                0.63864,                0.65199,                0.47544,                 0.5963,                0.56778,                0.55443,                 0.3566,                0.95247,                 2.8957,                 1.4628,                 1.2992,              0.0010872,              0.0010872,              0.0010872
                      4,                0.94282,                 1.9987,                 1.3571,                 1.2244,                0.58032,                0.63237,                0.63483,                0.46841,                0.56035,                0.60425,                0.59694,                0.40523,                0.93197,                 2.1577,                 1.5429,                 1.3298,               0.001078,               0.001078,               0.001078
                      5,                0.89586,                 1.8909,                 1.2501,                 1.1953,                0.59944,                0.70545,                0.69038,                0.51514,                0.56095,                0.64345,                0.62759,                0.42062,                 0.8276,                 2.0969,                  1.585,                 1.2368,               0.001078,               0.001078,               0.001078
                      6,                 0.8956,                 1.8738,                 1.1893,                 1.1905,                0.71591,                0.71007,                0.76092,                0.56985,                0.70145,                0.69394,                0.72455,                0.50331,                0.80808,                 1.9029,                 1.1002,                 1.2217,               0.001067,               0.001067,               0.001067
                      7,                0.85357,                 1.7882,                 1.1042,                 1.1628,                0.76875,                0.70422,                0.76664,                0.59521,                0.73272,                0.71841,                0.74601,                0.54711,                0.79201,                 1.6789,                      1,                 1.2046,               0.001056,               0.001056,               0.001056
                      8,                0.85146,                 1.7723,                 1.0874,                 1.1669,                0.64933,                0.78245,                0.75176,                0.58473,                0.63091,                0.75754,                0.71757,                0.52382,                0.73574,                 1.7105,                 1.0296,                 1.1576,               0.001045,               0.001045,               0.001045
                      9,                0.82818,                 1.7169,                 1.0318,                 1.1469,                0.72306,                0.76732,                0.77842,                 0.6273,                0.71311,                0.73939,                0.74697,                0.55875,                0.69037,                 1.6934,                0.89569,                 1.1208,               0.001034,               0.001034,               0.001034
                     10,                0.82185,                 1.7277,                 1.0129,                   1.15,                0.72269,                0.76512,                0.78391,                0.63186,                0.69939,                0.73872,                0.74658,                0.53062,                0.71963,                 1.8034,                0.93912,                 1.1458,               0.001023,               0.001023,               0.001023
