                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.5846,                 1.1225,                0.52785,                0.99564,                 0.8196,                0.82389,                0.86585,                0.74624,                0.81648,                0.81806,                0.85659,                0.70247,                0.54151,                 1.2856,                0.60785,                 1.0327,              0.0003685,              0.0003685,              0.0003685
                      2,                0.61399,                 1.1834,                0.58182,                 1.0172,                0.76897,                0.84161,                0.84859,                0.71866,                0.75572,                0.81883,                0.82688,                0.64666,                0.59328,                 1.4129,                0.66035,                 1.0661,              0.0007242,              0.0007242,              0.0007242
                      3,                 0.6441,                 1.2688,                0.61488,                 1.0266,                0.80666,                0.78714,                0.83073,                0.69092,                0.79183,                0.77428,                0.80384,                0.62523,                0.62432,                  1.559,                 0.7028,                  1.093,              0.0010652,              0.0010652,              0.0010652
                      4,                0.66359,                  1.307,                0.64172,                 1.0427,                0.76162,                0.81701,                0.84534,                0.69369,                0.75616,                0.80407,                0.81917,                0.63542,                0.63369,                 1.4896,                0.68303,                 1.0861,               0.001045,               0.001045,               0.001045
                      5,                 0.6589,                 1.2831,                0.65165,                 1.0388,                0.80876,                0.82753,                0.85959,                0.70839,                0.79526,                0.81432,                0.83661,                0.65721,                 0.6193,                 1.4347,                0.67413,                 1.0772,               0.001045,               0.001045,               0.001045
                      6,                0.66522,                 1.3203,                0.65676,                 1.0423,                0.81293,                0.82119,                0.84541,                0.69678,                0.79712,                0.80834,                0.82322,                 0.6477,                0.61724,                 1.4145,                0.68808,                 1.0776,               0.001023,               0.001023,               0.001023
                      7,                0.65469,                 1.2909,                0.63764,                 1.0327,                0.74063,                0.80409,                0.80763,                0.67073,                0.75347,                0.78073,                0.79586,                0.63223,                 0.6363,                  1.403,                0.75141,                 1.0979,               0.001001,               0.001001,               0.001001
                      8,                0.66089,                 1.2724,                0.63984,                 1.0438,                0.80002,                0.84433,                0.86047,                0.70954,                0.79073,                0.83322,                0.84256,                0.67979,                0.61602,                  1.257,                0.67535,                 1.0681,             0.00097901,             0.00097901,             0.00097901
                      9,                0.65357,                 1.2546,                0.63876,                 1.0321,                0.80928,                0.76904,                0.83653,                0.69924,                0.81039,                0.75142,                0.81236,                0.64659,                0.60961,                 1.4316,                0.70204,                 1.0681,             0.00095702,             0.00095702,             0.00095702
                     10,                0.65838,                 1.2734,                0.62789,                 1.0387,                0.78237,                0.82989,                0.86414,                0.72937,                0.80094,                0.78732,                0.84332,                0.68128,                0.59217,                 1.3608,                0.64193,                 1.0649,             0.00093502,             0.00093502,             0.00093502
                     11,                0.64435,                  1.238,                0.62815,                  1.028,                0.80329,                0.81296,                0.84675,                0.70508,                0.79648,                 0.8043,                0.83451,                0.66417,                0.61715,                 1.3782,                 0.6896,                 1.0821,             0.00091302,             0.00091302,             0.00091302
                     12,                0.64392,                 1.2474,                0.62229,                 1.0294,                0.78205,                0.80883,                0.84906,                0.70501,                0.77225,                0.79714,                0.82352,                0.66024,                0.59822,                 1.3665,                0.71302,                 1.0686,             0.00089102,             0.00089102,             0.00089102
                     13,                0.63777,                 1.2437,                0.61727,                 1.0299,                0.80017,                 0.8374,                0.85878,                0.72097,                 0.7955,                0.83183,                0.84496,                0.68853,                0.59323,                 1.2836,                0.63781,                 1.0608,             0.00086902,             0.00086902,             0.00086902
                     14,                0.64503,                 1.2519,                0.61196,                 1.0317,                 0.8286,                0.80977,                0.86642,                0.72615,                 0.8246,                 0.8046,                0.85563,                0.68763,                0.60425,                 1.3332,                0.62972,                   1.06,             0.00084703,             0.00084703,             0.00084703
                     15,                0.63601,                 1.2229,                0.60458,                 1.0256,                0.81592,                0.82171,                0.86486,                0.72158,                0.80314,                  0.801,                0.83388,                 0.6719,                0.58737,                 1.3456,                0.66906,                 1.0664,             0.00082503,             0.00082503,             0.00082503
                     16,                0.63621,                 1.2295,                    0.6,                 1.0242,                0.78683,                0.82822,                 0.8551,                 0.7235,                0.78538,                0.80802,                 0.8354,                0.67584,                0.59115,                 1.3104,                0.68577,                 1.0655,             0.00080303,             0.00080303,             0.00080303
                     17,                0.63221,                 1.2202,                0.59409,                 1.0244,                0.81635,                 0.8309,                0.86348,                0.72764,                0.81126,                0.81243,                0.84682,                0.68605,                0.57786,                 1.3011,                0.63913,                 1.0606,             0.00078103,             0.00078103,             0.00078103
                     18,                0.62955,                 1.2109,                0.59216,                 1.0231,                 0.8215,                0.81912,                0.86399,                0.73439,                0.81224,                0.81095,                 0.8484,                0.69142,                0.56734,                 1.3285,                0.61645,                 1.0507,             0.00075904,             0.00075904,             0.00075904
                     19,                0.62641,                  1.202,                0.59065,                 1.0181,                0.80771,                 0.8187,                0.86659,                0.72916,                0.80795,                0.81386,                0.85522,                0.69354,                 0.5807,                  1.285,                0.62354,                 1.0602,             0.00073704,             0.00073704,             0.00073704
