                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.62525,                 1.1927,                0.58575,                  1.019,                0.78959,                0.84385,                0.86161,                0.73581,                0.78682,                0.84102,                0.84912,                 0.6996,                0.54338,                 1.2449,                0.62734,                  1.029,              0.0059905,              0.0059905,              0.0059905
                     85,                0.62801,                 1.1999,                0.60287,                 1.0233,                0.82604,                0.84275,                0.87554,                0.74656,                0.82876,                0.82699,                0.86317,                0.70935,                0.54423,                   1.24,                0.61121,                 1.0259,              0.0058915,              0.0058915,              0.0058915
                     86,                0.62677,                 1.2101,                 0.5878,                 1.0169,                  0.843,                0.80592,                0.86666,                0.73768,                0.83605,                0.79691,                0.85275,                0.70433,                 0.5531,                 1.2518,                0.62222,                   1.04,               0.005842,               0.005842,               0.005842
                     87,                0.62815,                 1.2093,                0.59339,                 1.0189,                0.78111,                0.82871,                0.85515,                0.73386,                0.79866,                 0.7992,                0.84759,                0.69788,                0.54586,                 1.2364,                0.64395,                 1.0312,              0.0057925,              0.0057925,              0.0057925
                     88,                0.62507,                 1.1847,                0.58977,                 1.0165,                  0.816,                0.83391,                0.86467,                0.74041,                0.81352,                0.82373,                 0.8504,                0.70724,                0.54711,                 1.2281,                0.61207,                 1.0315,               0.005743,               0.005743,               0.005743
                     89,                0.62362,                 1.1947,                0.59207,                 1.0139,                0.82173,                0.81815,                0.86962,                0.74336,                0.81387,                0.80871,                0.84887,                0.69853,                0.55324,                 1.2282,                0.60772,                 1.0355,              0.0056935,              0.0056935,              0.0056935
                     90,                0.61572,                 1.1823,                0.57262,                 1.0106,                0.83776,                0.79622,                 0.8705,                0.74655,                 0.8354,                0.79405,                0.86191,                0.71157,                0.54528,                 1.2462,                0.61166,                 1.0319,               0.005644,               0.005644,               0.005644
                     91,                 0.6176,                 1.1627,                0.57746,                 1.0163,                0.80529,                0.83138,                0.86702,                0.74416,                0.80407,                0.82581,                0.86095,                0.70667,                0.54739,                 1.2431,                0.62869,                 1.0308,              0.0055945,              0.0055945,              0.0055945
                     92,                 0.6161,                 1.1692,                0.58116,                   1.01,                0.78249,                0.85083,                0.86029,                0.73376,                0.78422,                0.83006,                0.84734,                 0.6968,                0.55423,                 1.2741,                0.61926,                 1.0438,               0.005545,               0.005545,               0.005545
                     93,                0.61798,                 1.1778,                0.57743,                 1.0147,                0.78634,                0.85908,                0.86645,                 0.7401,                0.78104,                0.84696,                0.85144,                0.70422,                0.54494,                 1.2662,                0.60927,                 1.0321,              0.0054955,              0.0054955,              0.0054955
                     94,                0.61236,                 1.1622,                0.58315,                 1.0082,                0.83485,                0.81753,                0.86462,                0.74039,                0.82721,                0.81263,                0.85416,                0.70428,                0.54384,                 1.2121,                0.60594,                 1.0294,               0.005446,               0.005446,               0.005446
                     95,                0.61084,                  1.154,                0.57164,                 1.0081,                0.81373,                 0.8112,                0.85822,                0.74136,                  0.804,                0.81742,                0.84997,                0.70407,                0.53098,                 1.2094,                0.61581,                 1.0212,              0.0053965,              0.0053965,              0.0053965
                     96,                0.61463,                  1.179,                0.57131,                 1.0122,                0.80857,                  0.824,                0.85354,                0.72908,                 0.7994,                0.81496,                0.83967,                0.69836,                0.54464,                 1.2203,                0.61413,                 1.0364,               0.005347,               0.005347,               0.005347
                     97,                0.61787,                 1.1737,                0.57115,                 1.0173,                0.80531,                  0.853,                0.86963,                0.73825,                0.80747,                0.83652,                0.85679,                0.70217,                0.54447,                 1.2586,                 0.6009,                 1.0373,              0.0052975,              0.0052975,              0.0052975
                     98,                0.60734,                 1.1445,                0.56464,                 1.0096,                0.82306,                0.81118,                0.86061,                0.73666,                0.81984,                0.81643,                0.84984,                0.70608,                0.53691,                 1.2667,                0.61533,                 1.0319,               0.005248,               0.005248,               0.005248
                     99,                0.60693,                 1.1602,                0.56174,                  1.005,                0.82165,                0.83594,                0.87697,                0.74947,                0.82033,                0.83018,                0.86695,                0.71731,                0.53372,                 1.2694,                0.59412,                 1.0265,              0.0051985,              0.0051985,              0.0051985
                    100,                0.61159,                 1.1622,                0.56197,                 1.0075,                0.81865,                0.84003,                0.87258,                0.75092,                 0.8168,                0.82436,                0.85711,                0.70435,                0.52959,                 1.2405,                0.58974,                 1.0212,               0.005149,               0.005149,               0.005149
                    101,                0.60692,                 1.1553,                 0.5595,                 1.0063,                0.79079,                0.83841,                0.86234,                0.74099,                0.78659,                0.83453,                0.84865,                0.70492,                0.52787,                 1.2314,                0.60761,                 1.0226,              0.0050995,              0.0050995,              0.0050995
                    102,                0.60534,                 1.1529,                0.56676,                 1.0046,                0.81188,                0.82667,                0.86348,                0.74803,                 0.8082,                 0.8196,                0.85373,                0.71307,                0.52236,                 1.2102,                0.59762,                 1.0185,                0.00505,                0.00505,                0.00505
                    103,                0.60297,                 1.1279,                0.55496,                 1.0055,                0.81637,                0.82888,                0.86426,                0.74223,                0.80467,                0.83359,                0.85107,                0.70734,                0.52713,                 1.2309,                0.60206,                 1.0265,              0.0050005,              0.0050005,              0.0050005
                    104,                 0.5972,                 1.1257,                0.55302,                  1.002,                0.82579,                0.81925,                0.86074,                0.73901,                0.82213,                0.81617,                 0.8487,                0.70702,                0.54487,                 1.2528,                0.61425,                 1.0354,               0.004951,               0.004951,               0.004951
                    105,                0.60195,                 1.1383,                0.55486,                 1.0031,                0.83529,                0.80763,                0.85819,                0.73288,                0.83146,                 0.7943,                0.83797,                0.69705,                0.54017,                 1.2771,                0.61694,                 1.0377,              0.0049015,              0.0049015,              0.0049015
                    106,                0.59545,                 1.1355,                0.54553,                 0.9981,                0.81307,                0.81723,                0.86166,                0.73906,                0.81474,                0.81761,                0.84927,                0.70619,                0.54157,                 1.2492,                0.61746,                 1.0387,               0.004852,               0.004852,               0.004852
                    107,                 0.5969,                 1.1377,                0.54561,                 1.0016,                0.82305,                 0.8239,                 0.8674,                0.74712,                0.80792,                0.83945,                0.85987,                0.71381,                0.52483,                  1.196,                0.60998,                 1.0198,              0.0048025,              0.0048025,              0.0048025
                    108,                0.59338,                  1.117,                0.54424,                  1.002,                0.81701,                0.83236,                0.86151,                0.74667,                0.81578,                0.83789,                0.86147,                0.71729,                0.52021,                 1.1924,                0.60426,                  1.013,               0.004753,               0.004753,               0.004753
                    109,                0.59835,                 1.1301,                0.54167,                0.99873,                0.80415,                0.83567,                0.86671,                0.75299,                0.80191,                0.83291,                0.85744,                0.71092,                0.51882,                 1.2638,                0.61734,                 1.0176,              0.0047035,              0.0047035,              0.0047035
                    110,                0.60312,                  1.139,                0.54716,                 1.0023,                0.81539,                0.84735,                0.87088,                0.75321,                0.81047,                0.84223,                0.85815,                0.71801,                0.51693,                 1.2246,                0.60225,                 1.0159,               0.004654,               0.004654,               0.004654
                    111,                0.59106,                 1.1127,                0.54476,                0.99641,                0.80863,                0.82945,                0.85643,                0.73919,                0.80951,                0.82484,                0.84959,                0.70526,                0.52545,                 1.2276,                0.62091,                 1.0248,              0.0046045,              0.0046045,              0.0046045
                    112,                0.58563,                  1.105,                0.53582,                0.99338,                0.80702,                0.83791,                0.86004,                0.74596,                0.79974,                0.82684,                0.84957,                 0.7069,                0.52678,                 1.2415,                0.60995,                  1.029,               0.004555,               0.004555,               0.004555
                    113,                0.59196,                 1.1241,                0.54256,                0.99667,                0.83594,                0.81642,                0.86506,                0.74687,                 0.8348,                  0.815,                0.85858,                0.70998,                0.52379,                 1.2494,                 0.6061,                 1.0194,              0.0045055,              0.0045055,              0.0045055
                    114,                0.57943,                 1.1016,                0.53407,                 0.9901,                0.80512,                0.84096,                0.86963,                0.74848,                0.79537,                0.84842,                0.85653,                0.71148,                0.52582,                  1.223,                 0.5975,                 1.0271,               0.004456,               0.004456,               0.004456
                    115,                0.59802,                 1.1314,                 0.5384,                0.99893,                0.81406,                0.83752,                0.86593,                0.74727,                0.81426,                0.82971,                0.85511,                0.70903,                0.52868,                 1.2357,                0.59574,                  1.032,              0.0044065,              0.0044065,              0.0044065
                    116,                0.58619,                 1.1158,                0.53853,                0.99603,                0.83033,                0.81901,                0.86939,                0.74873,                0.82092,                0.81422,                0.85536,                  0.713,                0.53472,                 1.2385,                0.61386,                  1.038,               0.004357,               0.004357,               0.004357
                    117,                0.58896,                 1.1023,                0.52896,                0.99419,                0.82449,                 0.8337,                0.86853,                0.74832,                0.81957,                0.82704,                0.85451,                 0.7158,                0.54327,                 1.2416,                0.60044,                 1.0446,              0.0043075,              0.0043075,              0.0043075
                    118,                0.58744,                 1.1043,                  0.528,                0.99241,                0.84738,                0.81516,                0.86671,                0.74582,                0.84285,                0.81097,                0.85905,                0.70844,                0.53657,                 1.2364,                0.59094,                 1.0399,               0.004258,               0.004258,               0.004258
                    119,                0.57674,                 1.0841,                0.52211,                0.99114,                0.83041,                0.81827,                0.85774,                0.73758,                0.82823,                  0.811,                 0.8486,                0.70834,                0.52771,                 1.2396,                 0.5972,                 1.0342,              0.0042085,              0.0042085,              0.0042085
                    120,                0.58123,                 1.1102,                0.52058,                0.98986,                0.82344,                0.81615,                0.85562,                0.74133,                0.82265,                0.81542,                0.85072,                  0.705,                0.52593,                 1.2294,                0.60943,                  1.031,               0.004159,               0.004159,               0.004159
                    121,                0.57832,                 1.0801,                0.51156,                 0.9849,                0.81449,                0.83961,                 0.8608,                0.73945,                0.80716,                0.83525,                 0.8532,                0.70711,                 0.5358,                 1.2352,                0.61659,                  1.043,              0.0041095,              0.0041095,              0.0041095
